id,posted_date,submitter,organization,last_name,first_name,title,text_file,attachment_files
COLC-2015-0012-0006,2016-03-04T05:00:00Z,Hunt-Otto,,Hunt,Otto,Initial Comments -  Otto Hunt,COLC-2015-0012-0006_Hunt-Otto_comment.txt,
COLC-2015-0012-0079,2016-04-03T04:00:00Z,Duan-Charles,,Duan,Charles,Initial Reply Comments - Charles Duan,COLC-2015-0012-0079_Duan-Charles_comment.txt,COLC-2015-0012-0079_Duan-Charles_0900006481f144ac.pdf
COLC-2015-0012-0086,2016-04-03T04:00:00Z,Decherney-Peter,,Decherney,Peter,Initial Reply Comments - Peter Decherney,COLC-2015-0012-0086_Decherney-Peter_comment.txt,COLC-2015-0012-0086_Decherney-Peter_0900006481f1d1df.pdf
COLC-2015-0012-0072,2016-04-03T04:00:00Z,Alliance of Automobile Manufacturers,Alliance of Automobile Manufacturers,Metalitz,Steven,Initial Reply Comments - Alliance of Automobile Manufacturers,COLC-2015-0012-0072_Alliance-of-Automobile-Manufacturers_comment.txt,COLC-2015-0012-0072_Alliance-of-Automobile-Manufacturers_0900006481eeb156.pdf
COLC-2015-0012-0101,2016-10-28T04:00:00Z,Ehrhart-Brian,,Ehrhart,Brian,"Additional Comments - Ehrhart, Brian",COLC-2015-0012-0101_Ehrhart-Brian_comment.txt,
COLC-2015-0012-0009,2016-03-04T05:00:00Z,Yeates-Nick,,Yeates,Nick,Initial Comments -  Nick Yeates,COLC-2015-0012-0009_Yeates-Nick_comment.txt,
COLC-2015-0012-0023,2016-03-04T05:00:00Z,Dulaney-John,,Dulaney,John,Initial Comments - John Dulaney,COLC-2015-0012-0023_Dulaney-John_comment.txt,
COLC-2015-0012-0008,2016-03-04T05:00:00Z,Olivo-Peter,,Olivo,Peter,Initial Comments -  Peter Olivo,COLC-2015-0012-0008_Olivo-Peter_comment.txt,
COLC-2015-0012-0070,2016-03-04T05:00:00Z,Ymous-ANON,,Ymous,ANON,Initial Comments - ANON Ymous,COLC-2015-0012-0070_Ymous-ANON_comment.txt,
COLC-2015-0012-0045,2016-03-04T05:00:00Z,"AAP, MPAA and RIAA","AAP, MPAA and RIAA",Sheffner,Ben,"Initial Comments - AAP, MPAA, RIAA",COLC-2015-0012-0045_AAP-MPAA-and-RIAA_comment.txt,COLC-2015-0012-0045_AAP-MPAA-and-RIAA_0900006481e9f166.pdf
COLC-2015-0012-0105,2016-10-28T04:00:00Z,Equipment Dealers Association,Equipment Dealers Association,Higgins,Natalie,"Additional Comments - AEM, EDA",COLC-2015-0012-0105_Equipment-Dealers-Association_comment.txt,COLC-2015-0012-0105_Equipment-Dealers-Association_090000648234f0b8.pdf
COLC-2015-0012-0111,2016-10-28T04:00:00Z,"Rapid7, Bugcrowd, HackerOne, Luta Security","Rapid7, Bugcrowd, HackerOne, Luta Security",Geiger,Harley,"Additional Comments - Rapid7, Bugcrowd, HackerOne, Luta Security",COLC-2015-0012-0111_Rapid7-Bugcrowd-HackerOne-Luta-Security_comment.txt,COLC-2015-0012-0111_Rapid7-Bugcrowd-HackerOne-Luta-Security_09000064823589fd.pdf
COLC-2015-0012-0116,2016-10-28T04:00:00Z,"Authors Alliance, Inc.","Authors Alliance, Inc.",Wolfe,Michael,"Additional Comments - Authors Alliance, Inc.",COLC-2015-0012-0116_Authors-Alliance-Inc._comment.txt,COLC-2015-0012-0116_Authors-Alliance-Inc._0900006482359360.pdf
COLC-2015-0012-0112,2016-10-28T04:00:00Z,Competitive Carriers Association,Competitive Carriers Association,Murphy Thompson,Rebecca,Additional Comments - Competitive Carriers Association,COLC-2015-0012-0112_Competitive-Carriers-Association_comment.txt,COLC-2015-0012-0112_Competitive-Carriers-Association_0900006482358d66.pdf
COLC-2015-0012-0127,2016-10-28T04:00:00Z,Public Knowledge,Public Knowledge,Panjwani,Raza,Additional Comments - Public Knowledge,COLC-2015-0012-0127_Public-Knowledge_comment.txt,COLC-2015-0012-0127_Public-Knowledge_090000648235a159.pdf
COLC-2015-0012-0139,2016-11-17T05:00:00Z,"AAP, ESA, MPAA, RIAA","AAP, ESA, MPAA, RIAA",Williams,J. Matthew,"Additional Reply Comments - AAP, ESA, MPAA, RIAA",COLC-2015-0012-0139_AAP-ESA-MPAA-RIAA_comment.txt,COLC-2015-0012-0139_AAP-ESA-MPAA-RIAA_090000648239b52a.pdf
COLC-2015-0012-0138,2016-11-17T05:00:00Z,Consumers Union,Consumers Union,Slover,George,Additional Reply Comments - Consumers Union,COLC-2015-0012-0138_Consumers-Union_comment.txt,COLC-2015-0012-0138_Consumers-Union_090000648239ac79.pdf
COLC-2015-0012-0124,2016-10-28T04:00:00Z,"AFB, ACB, NFB, Learning Ally, and TLPC","AFB, ACB, NFB, Learning Ally, and TLPC",Reid,Blake,"Additional Comments - AFB, ACB, NFB, Learning Ally, TLPC",COLC-2015-0012-0124_AFB-ACB-NFB-Learning-Ally-and-TLPC_comment.txt,COLC-2015-0012-0124_AFB-ACB-NFB-Learning-Ally-and-TLPC_0900006482359b8d.pdf
COLC-2015-0012-0110,2016-10-28T04:00:00Z,Center for Democracy & Technology,Center for Democracy & Technology,Adams,Stan,Additional Comments - Center for Democracy & Technology,COLC-2015-0012-0110_Center-for-Democracy-Technology_comment.txt,COLC-2015-0012-0110_Center-for-Democracy-Technology_09000064823589cd.pdf
COLC-2015-0012-0115,2016-10-28T04:00:00Z,American Association of Law Libraries,American Association of Law Libraries,Feltren,Emily,Additional Comments - American Association of Law Libraries,COLC-2015-0012-0115_American-Association-of-Law-Libraries_comment.txt,COLC-2015-0012-0115_American-Association-of-Law-Libraries_0900006482358d94.pdf
COLC-2015-0012-0126,2016-10-28T04:00:00Z,The Repair Association & iFixit,The Repair Association & iFixit,Villa,Luis,"Additional Comments - The Repair Association, iFixit",COLC-2015-0012-0126_The-Repair-Association-iFixit_comment.txt,COLC-2015-0012-0126_The-Repair-Association-iFixit_0900006482359cd8.pdf
COLC-2015-0012-0125,2016-10-28T04:00:00Z,"Institute of Scrap Recycling Industries, Inc.","Institute of Scrap Recycling Industries, Inc.",Malone,Phil,"Additional Comments - Institute of Scrap Recycling Industries, Inc.",COLC-2015-0012-0125_Institute-of-Scrap-Recycling-Industries-Inc._comment.txt,COLC-2015-0012-0125_Institute-of-Scrap-Recycling-Industries-Inc._0900006482359cac.pdf
COLC-2015-0012-0128,2016-10-28T04:00:00Z,The Security Researchers,The Security Researchers,Matwyshyn,Andrea,Additional Comments - The Security Researchers,COLC-2015-0012-0128_The-Security-Researchers_comment.txt,COLC-2015-0012-0128_The-Security-Researchers_090000648235a535.pdf
COLC-2015-0012-0100,2016-10-28T04:00:00Z,Wilkin-John,,Wilkin,John,Additional Comments - University Library of the University of Illinois at Urbana-Champaign,COLC-2015-0012-0100_Wilkin-John_comment.txt,COLC-2015-0012-0100_Wilkin-John_090000648230420d.pdf
COLC-2015-0012-0106,2016-10-28T04:00:00Z,Cohen-Misha,,Cohen,Misha,"Additional Comments - Cohen, Misha",COLC-2015-0012-0106_Cohen-Misha_comment.txt,
COLC-2015-0012-0134,2016-11-17T05:00:00Z,Kenney-Kevin,,Kenney,Kevin,"Additional Reply Comments - Kenney, Kevin",COLC-2015-0012-0134_Kenney-Kevin_comment.txt,
COLC-2015-0012-0015,2016-03-04T05:00:00Z,Howes-Timothy,,Howes,Timothy,Initial Comments -  Timothy Howes,COLC-2015-0012-0015_Howes-Timothy_comment.txt,
COLC-2015-0012-0069,2016-03-04T05:00:00Z,Robbins-Rico,,Robbins,Rico,Initial Comments - Rico Robbins,COLC-2015-0012-0069_Robbins-Rico_comment.txt,
COLC-2015-0012-0074,2016-04-03T04:00:00Z,Blocher-Smith-Ethan,,Blocher-Smith,Ethan,Initial Reply Comments - Ethan Blocher-Smith,COLC-2015-0012-0074_Blocher-Smith-Ethan_comment.txt,
COLC-2015-0012-0042,2016-03-04T05:00:00Z,Consumers Union,Consumers Union,Slover,George,Initial Comments - Consumers Union,COLC-2015-0012-0042_Consumers-Union_comment.txt,COLC-2015-0012-0042_Consumers-Union_0900006481e9ee60.pdf
COLC-2015-0012-0099,2016-10-28T04:00:00Z,Hawley-Andy,,Hawley,Andy,"Additional Comments - Hawley, Andy",COLC-2015-0012-0099_Hawley-Andy_comment.txt,
COLC-2015-0012-0003,2016-03-04T05:00:00Z,The Center for Copyright Integrity,The Center for Copyright Integrity,Devorah,Carrie,Initial Comments - Carrie Devorah,COLC-2015-0012-0003_The-Center-for-Copyright-Integrity_comment.txt,
COLC-2015-0012-0061,2016-03-04T05:00:00Z,Center for Democracy & Technology,Center for Democracy & Technology,Stallman,Erik,Initial Comments - Center for Democracy & Technology,COLC-2015-0012-0061_Center-for-Democracy-Technology_comment.txt,COLC-2015-0012-0061_Center-for-Democracy-Technology_0900006481e9fd73.pdf
COLC-2015-0012-0057,2016-03-04T05:00:00Z,ACT | The App Association,ACT | The App Association,Scarpelli,Brian,Initial Comments - ACT | The App Association,COLC-2015-0012-0057_ACT-The-App-Association_comment.txt,COLC-2015-0012-0057_ACT-The-App-Association_0900006481e9f69c.pdf
COLC-2015-0012-0066,2016-03-04T05:00:00Z,American Foundation for the Blind,American Foundation for the Blind,Malone,Phil,Initial Comments - American Foundation for the Blind,COLC-2015-0012-0066_American-Foundation-for-the-Blind_comment.txt,COLC-2015-0012-0066_American-Foundation-for-the-Blind_0900006481e9f992.pdf
COLC-2015-0012-0049,2016-03-04T05:00:00Z,"Kernochan Center for Law, Media and the Arts, Columbia Law School","Kernochan Center for Law, Media and the Arts, Columbia Law School",Besek,June,"Initial Comments - Kernochan Center for Law, Media and the Arts, Columbia Law School",COLC-2015-0012-0049_Kernochan-Center-for-Law-Media-and-the-Arts-Columbia-Law-Sch_comment.txt,COLC-2015-0012-0049_Kernochan-Center-for-Law-Media-and-the-Arts-Columbia-Law-Sch_0900006481e9f274.docx|COLC-2015-0012-0049_Kernochan-Center-for-Law-Media-and-the-Arts-Columbia-Law-Sch_0900006481e9f274.pdf
COLC-2015-0012-0058,2016-03-04T05:00:00Z,Electronic Frontier Foundation,Electronic Frontier Foundation,Stoltz,Mitch,Initial Comments - Electronic Frontier Foundation,COLC-2015-0012-0058_Electronic-Frontier-Foundation_comment.txt,COLC-2015-0012-0058_Electronic-Frontier-Foundation_0900006481e9f7b7.pdf
COLC-2015-0012-0033,2016-03-04T05:00:00Z,"AAU, ACE, APLU, EDUCAUSE","AAU, ACE, APLU, EDUCAUSE",Sebeok,Jessica,"Initial Comments - AAU, ACE, APLU, EDUCAUSE",COLC-2015-0012-0033_AAU-ACE-APLU-EDUCAUSE_comment.txt,COLC-2015-0012-0033_AAU-ACE-APLU-EDUCAUSE_0900006481e9cad7.docx|COLC-2015-0012-0033_AAU-ACE-APLU-EDUCAUSE_0900006481e9cad7.pdf|COLC-2015-0012-0033_AAU-ACE-APLU-EDUCAUSE_0900006481e9cad8.pdf
COLC-2015-0012-0021,2016-03-04T05:00:00Z,Organization for Transformative Works,Organization for Transformative Works,Tushnet,Rebecca,Initial Comments - Organization for Transformative Works,COLC-2015-0012-0021_Organization-for-Transformative-Works_comment.txt,COLC-2015-0012-0021_Organization-for-Transformative-Works_0900006481e82d45.pdf
COLC-2015-0012-0087,2016-04-03T04:00:00Z,Public Knowledge,Public Knowledge,Panjwani,Raza,Initial Reply Comments - Public Knowledge,COLC-2015-0012-0087_Public-Knowledge_comment.txt,COLC-2015-0012-0087_Public-Knowledge_0900006481f201f0.pdf
COLC-2015-0012-0078,2016-04-03T04:00:00Z,Entertainment Software Association,Entertainment Software Association,Englund,Steve,Initial Reply Comments - Entertainment Software Association (ESA),COLC-2015-0012-0078_Entertainment-Software-Association_comment.txt,COLC-2015-0012-0078_Entertainment-Software-Association_0900006481f1170f.pdf
COLC-2015-0012-0035,2016-03-04T05:00:00Z,Library Copyright Alliance,Library Copyright Alliance,Band,Jonathan,Initial Comments - Library Copyright Alliance,COLC-2015-0012-0035_Library-Copyright-Alliance_comment.txt,COLC-2015-0012-0035_Library-Copyright-Alliance_0900006481e9d405.pdf
COLC-2015-0012-0032,2016-03-04T05:00:00Z,Authors Alliance,Authors Alliance,Wolfe,Michael,Initial Comments - Authors Alliance,COLC-2015-0012-0032_Authors-Alliance_comment.txt,COLC-2015-0012-0032_Authors-Alliance_0900006481e9c125.pdf
COLC-2015-0012-0037,2016-03-04T05:00:00Z,Owners' Rights Initiative,Owners' Rights Initiative,Band,Jonathan,Initial Comments - Owners' Rights Initiative,COLC-2015-0012-0037_Owners-Rights-Initiative_comment.txt,COLC-2015-0012-0037_Owners-Rights-Initiative_0900006481e9e16b.pdf
COLC-2015-0012-0029,2016-03-04T05:00:00Z,New Media Rights,New Media Rights,Neill,Art,Initial Comments - New Media Rights,COLC-2015-0012-0029_New-Media-Rights_comment.txt,COLC-2015-0012-0029_New-Media-Rights_0900006481e9756c.pdf
COLC-2015-0012-0016,2016-03-04T05:00:00Z,Society of American Archivists,Society of American Archivists,Meissner,Dennis,Initial Comments - Society of American Archivists,COLC-2015-0012-0016_Society-of-American-Archivists_comment.txt,COLC-2015-0012-0016_Society-of-American-Archivists_0900006481e76d2d.pdf
COLC-2015-0012-0052,2016-03-04T05:00:00Z,Cyberlaw Clinic at Harvard Law School,Cyberlaw Clinic at Harvard Law School,Sellars,Andrew,Initial Comments - Cyberlaw Clinic at Harvard Law School,COLC-2015-0012-0052_Cyberlaw-Clinic-at-Harvard-Law-School_comment.txt,COLC-2015-0012-0052_Cyberlaw-Clinic-at-Harvard-Law-School_0900006481e9f2c1.pdf
COLC-2015-0012-0067,2016-03-04T05:00:00Z,Decherney-Peter,,Decherney,Peter,Initial Comments - Peter Decherney,COLC-2015-0012-0067_Decherney-Peter_comment.txt,COLC-2015-0012-0067_Decherney-Peter_0900006481e9f9a2.pdf
COLC-2015-0012-0054,2016-03-04T05:00:00Z,Microsoft Corporation,Microsoft Corporation,Green,Dave,Initial Comments - Microsoft Corporation,COLC-2015-0012-0054_Microsoft-Corporation_comment.txt,COLC-2015-0012-0054_Microsoft-Corporation_0900006481e9f5be.pdf
COLC-2015-0012-0055,2016-03-04T05:00:00Z,Mozilla,Mozilla,West,Heather,Initial Comments - Mozilla,COLC-2015-0012-0055_Mozilla_comment.txt,COLC-2015-0012-0055_Mozilla_0900006481e9f373.pdf
COLC-2015-0012-0064,2016-03-04T05:00:00Z,Freeman-Jay,,Freeman,Jay,Initial Comments - Jay Freeman,COLC-2015-0012-0064_Freeman-Jay_comment.txt,COLC-2015-0012-0064_Freeman-Jay_0900006481e9f99f.pdf
COLC-2015-0012-0053,2016-03-04T05:00:00Z,iFixit,iFixit,Wiens,Kyle,Initial Comments - iFixit,COLC-2015-0012-0053_iFixit_comment.txt,COLC-2015-0012-0053_iFixit_0900006481e9f2f8.pdf
COLC-2015-0012-0131,2016-11-03T04:00:00Z,Free Software Foundation,Free Software Foundation,Robinson,Donald,Additional Comments - Free Software Foundation,COLC-2015-0012-0131_Free-Software-Foundation_comment.txt,COLC-2015-0012-0131_Free-Software-Foundation_090000648236e2c8.pdf
COLC-2015-0012-0121,2016-10-28T04:00:00Z,SIIA,SIIA,Mohr,Chris,Additional Comments - Software and Information Industry Association,COLC-2015-0012-0121_SIIA_comment.txt,COLC-2015-0012-0121_SIIA_0900006482359a99.pdf
COLC-2015-0012-0107,2016-10-28T04:00:00Z,Owners' Rights Initiative,Owners' Rights Initiative,Band,Jonathan,Additional Comments - Owners' Rights Initiative,COLC-2015-0012-0107_Owners-Rights-Initiative_comment.txt,COLC-2015-0012-0107_Owners-Rights-Initiative_090000648235780b.pdf
COLC-2015-0012-0108,2016-10-28T04:00:00Z,Software Preservation Network,Software Preservation Network,Meyerson,Jessica,Additional Comments - Software Preservation Network,COLC-2015-0012-0108_Software-Preservation-Network_comment.txt,
COLC-2015-0012-0141,2016-11-17T05:00:00Z,SIIA,SIIA,Mohr,Chris,Additional Reply Comments - SIIA,COLC-2015-0012-0141_SIIA_comment.txt,COLC-2015-0012-0141_SIIA_090000648239b5d4.pdf
COLC-2015-0012-0140,2016-11-17T05:00:00Z,The Repair Association & iFixit,The Repair Association & iFixit,Villa,Luis,Additional Reply Comments - The Repair Association & iFixit,COLC-2015-0012-0140_The-Repair-Association-iFixit_comment.txt,COLC-2015-0012-0140_The-Repair-Association-iFixit_090000648239b570.pdf
COLC-2015-0012-0048,2016-03-04T05:00:00Z,"Static Control Components, Inc.","Static Control Components, Inc.",London,William,"Initial Comments - Static Control Components, Inc.",COLC-2015-0012-0048_Static-Control-Components-Inc._comment.txt,COLC-2015-0012-0048_Static-Control-Components-Inc._0900006481e9f270.pdf
COLC-2015-0012-0044,2016-03-04T05:00:00Z,Consumer Technology Association,Consumer Technology Association,Petricone,Michael,Initial Comments - Consumer Technology Association,COLC-2015-0012-0044_Consumer-Technology-Association_comment.txt,COLC-2015-0012-0044_Consumer-Technology-Association_0900006481e9f160.pdf
COLC-2015-0012-0041,2016-03-04T05:00:00Z,AIPLA,AIPLA,Gervasi,Christina,Initial Comments - AIPLA,COLC-2015-0012-0041_AIPLA_comment.txt,COLC-2015-0012-0041_AIPLA_0900006481e9ebb7.pdf
COLC-2015-0012-0046,2016-03-04T05:00:00Z,ACM U.S. Public Policy Council,ACM U.S. Public Policy Council,Spafford,Eugene,Initial Comments - ACM U.S. Public Policy Council,COLC-2015-0012-0046_ACM-U.S.-Public-Policy-Council_comment.txt,COLC-2015-0012-0046_ACM-U.S.-Public-Policy-Council_0900006481e9ef28.pdf
COLC-2015-0012-0004,2016-03-04T05:00:00Z,Koberidze-Maryna,,Koberidze,Maryna,Initial Comments - Maryna Koberidze,COLC-2015-0012-0004_Koberidze-Maryna_comment.txt,COLC-2015-0012-0004_Koberidze-Maryna_0900006481e4bb0c.pdf
