id,posted_date,submitter,organization,last_name,first_name,title,text_file,attachment_files
COLC-2015-0011-0009,2016-02-17T05:00:00Z,Electronic Frontier Foundation,Electronic Frontier Foundation,Walsh,Kit,Initial Comments - Electronic Frontier Foundation,COLC-2015-0011-0009_Electronic-Frontier-Foundation_comment.txt,COLC-2015-0011-0009_Electronic-Frontier-Foundation_0900006481e700f3.pdf
COLC-2015-0011-0012,2016-02-17T05:00:00Z,Public Knowledge and Open Technology Institute,Public Knowledge and Open Technology Institute,Bergmayer,John,Initial Comments - Public Knowledge and New America's Open Technology Institute,COLC-2015-0011-0012_Public-Knowledge-and-Open-Technology-Institute_comment.txt,COLC-2015-0011-0012_Public-Knowledge-and-Open-Technology-Institute_0900006481e70444.pdf
COLC-2015-0011-0016,2016-02-17T05:00:00Z,"Global Intellectual Property Center, U.S. Chamber of Commerce","Global Intellectual Property Center, U.S. Chamber of Commerce",Cullen,Frank,"Initial Comments - Global Intellectual Property Center, U.S. Chamber of Commerce",COLC-2015-0011-0016_Global-Intellectual-Property-Center-U.S.-Chamber-of-Commerce_comment.txt,COLC-2015-0011-0016_Global-Intellectual-Property-Center-U.S.-Chamber-of-Commerce_0900006481e704a3.pdf
COLC-2015-0011-0015,2016-02-17T05:00:00Z,BSA | The Software Alliance,BSA | The Software Alliance,Troncoso,Christian,Initial Comments - BSA | The Software Alliance,COLC-2015-0011-0015_BSA-The-Software-Alliance_comment.txt,COLC-2015-0011-0015_BSA-The-Software-Alliance_0900006481e7049f.pdf
COLC-2015-0011-0018,2016-02-17T05:00:00Z,Specialty Equipment Market Association (SEMA),Specialty Equipment Market Association (SEMA),Ailsworth,Ashley,Initial Comments - Specialty Equipment Market Association,COLC-2015-0011-0018_Specialty-Equipment-Market-Association-SEMA_comment.txt,COLC-2015-0011-0018_Specialty-Equipment-Market-Association-SEMA_0900006481e704c2.pdf
COLC-2015-0011-0020,2016-02-17T05:00:00Z,ACT | The App Association,ACT | The App Association,Scarpelli,Brian,Initial Comments - ACT | The App Association,COLC-2015-0011-0020_ACT-The-App-Association_comment.txt,COLC-2015-0011-0020_ACT-The-App-Association_0900006481e7081a.pdf
COLC-2015-0011-0027,2016-02-17T05:00:00Z,Mitchell-John,,Mitchell,John,Initial Comments - John Mitchell,COLC-2015-0011-0027_Mitchell-John_comment.txt,COLC-2015-0011-0027_Mitchell-John_0900006481e7106b.pdf
COLC-2015-0011-0024,2016-02-17T05:00:00Z,"Author Services, Inc.","Author Services, Inc.",Hawkins,Ryland,"Initial Comments - Author Services, Inc.",COLC-2015-0011-0024_Author-Services-Inc._comment.txt,COLC-2015-0011-0024_Author-Services-Inc._0900006481e70ff5.pdf
COLC-2015-0011-0029,2016-03-21T04:00:00Z,"Motion Picture Association of America, Inc.","Motion Picture Association of America, Inc.",Sheffner,Ben,"Reply Comments - Motion Picture Association of America, Inc.",COLC-2015-0011-0029_Motion-Picture-Association-of-America-Inc._comment.txt,COLC-2015-0011-0029_Motion-Picture-Association-of-America-Inc._0900006481ecf607.pdf
COLC-2015-0011-0031,2016-03-21T04:00:00Z,Copyright Alliance,Copyright Alliance,Kupferschmid,Keith,Reply Comments - Copyright Alliance,COLC-2015-0011-0031_Copyright-Alliance_comment.txt,COLC-2015-0011-0031_Copyright-Alliance_0900006481ecf984.pdf
COLC-2015-0011-0013,2016-02-17T05:00:00Z,iFixit,iFixit,Wiens,Kyle,Initial Comments - iFixit,COLC-2015-0011-0013_iFixit_comment.txt,COLC-2015-0011-0013_iFixit_0900006481e705c4.pdf
COLC-2015-0011-0010,2016-02-17T05:00:00Z,Copyright Alliance,Copyright Alliance,Kupferschmid,Keith,Initial Comments - Copyright Alliance,COLC-2015-0011-0010_Copyright-Alliance_comment.txt,COLC-2015-0011-0010_Copyright-Alliance_0900006481e700f6.pdf
COLC-2015-0011-0003,2016-02-17T05:00:00Z,Owners' Rights Initiative,Owners' Rights Initiative,Band,Jonathan,Initial Comments - Owners' Rights Initiative,COLC-2015-0011-0003_Owners-Rights-Initiative_comment.txt,COLC-2015-0011-0003_Owners-Rights-Initiative_0900006481e6e7cb.pdf
COLC-2015-0011-0006,2016-02-17T05:00:00Z,Entertainment Software Association,Entertainment Software Association,Englund,Steven,Initial Comments - Entertainment Software Association,COLC-2015-0011-0006_Entertainment-Software-Association_comment.txt,COLC-2015-0011-0006_Entertainment-Software-Association_0900006481e6f44c.pdf
COLC-2015-0011-0019,2016-02-17T05:00:00Z,Microsoft Corporation,Microsoft Corporation,Green,Dave,Initial Comments - Microsoft Corporation,COLC-2015-0011-0019_Microsoft-Corporation_comment.txt,COLC-2015-0011-0019_Microsoft-Corporation_0900006481e707ba.pdf
COLC-2015-0011-0017,2016-02-17T05:00:00Z,Computer & Communications Industry Ass'n,Computer & Communications Industry Ass'n,Schruers,Matthew,Initial Comments - Computer & Communications Industry Association,COLC-2015-0011-0017_Computer-Communications-Industry-Ass-n_comment.txt,COLC-2015-0011-0017_Computer-Communications-Industry-Ass-n_0900006481e706d3.pdf
COLC-2015-0011-0002,2016-02-17T05:00:00Z,Devorah-Carrie,,Devorah,Carrie,Initial Comments - Carrie Devorah,COLC-2015-0011-0002_Devorah-Carrie_comment.txt,
COLC-2015-0011-0011,2016-02-17T05:00:00Z,Auto Care Association,Auto Care Association,Lowe,Aaron,Initial Comments - Auto Care Association,COLC-2015-0011-0011_Auto-Care-Association_comment.txt,COLC-2015-0011-0011_Auto-Care-Association_0900006481e703f0.pdf
COLC-2015-0011-0014,2016-02-17T05:00:00Z,Software and Information Industry Association,Software and Information Industry Association,Mohr,Christopher,Initial Comments - Software and Information Industry Association,COLC-2015-0011-0014_Software-and-Information-Industry-Association_comment.txt,COLC-2015-0011-0014_Software-and-Information-Industry-Association_0900006481e70651.pdf
COLC-2015-0011-0022,2016-02-17T05:00:00Z,Case Western Reserve University School of Law,Case Western Reserve University School of Law,Perzanowski,Aaron,"Initial Comments - Aaron Perzanowski, et al.",COLC-2015-0011-0022_Case-Western-Reserve-University-School-of-Law_comment.txt,COLC-2015-0011-0022_Case-Western-Reserve-University-School-of-Law_0900006481e7073c.pdf
COLC-2015-0011-0032,2016-03-21T04:00:00Z,Consumers Union,Consumers Union,Slover,George,Reply Comments - Consumers Union,COLC-2015-0011-0032_Consumers-Union_comment.txt,COLC-2015-0011-0032_Consumers-Union_0900006481ed0317.pdf
COLC-2015-0011-0030,2016-03-21T04:00:00Z,Software and Information Industry Association,Software and Information Industry Association,Mohr,Chris,Reply Comments - Software and Information Industry Association,COLC-2015-0011-0030_Software-and-Information-Industry-Association_comment.txt,COLC-2015-0011-0030_Software-and-Information-Industry-Association_0900006481ecf813.pdf
COLC-2015-0011-0028,2016-03-21T04:00:00Z,Owners' Rights Initiative,Owners' Rights Initiative,Band,Jonathan,Reply Comments - Owners' Rights Initiative,COLC-2015-0011-0028_Owners-Rights-Initiative_comment.txt,COLC-2015-0011-0028_Owners-Rights-Initiative_0900006481ecbfbf.pdf
COLC-2015-0011-0033,2016-03-21T04:00:00Z,Engine Advocacy,Engine Advocacy,Malone,Phil,Reply Comments - Engine Advocacy,COLC-2015-0011-0033_Engine-Advocacy_comment.txt,COLC-2015-0011-0033_Engine-Advocacy_0900006481ed099e.pdf
