class,party,source_url,local_filename,http_status,bytes,sha256
Class 1: Audiovisual works – criticism and comment,Authors Alliance et al.,https://cdn.loc.gov/copyright/1201/2018/comments-121817/class1/class-01-initialcomments-authors-alliance-et-al.pdf,Class01_Authors-Alliance-et-al.pdf,200,607992,3326d9c01b9fb1194e431f324e66445f555f7fdc644b0a7e33dce59c52b124fa
Class 1: Audiovisual works – criticism and comment,Brigham Young University,https://cdn.loc.gov/copyright/1201/2018/comments-121817/class1/class-01-initial-comments-byu.pdf,Class01_Brigham-Young-University.pdf,200,137475,4a0da54d75c011b4062a1b8cd51e786c9fc10b8f20e1e51edebe52067aaf6ba3
Class 1: Audiovisual works – criticism and comment,Electronic Frontier Foundation,https://cdn.loc.gov/copyright/1201/2018/comments-121817/class1/class-01-initialcomments-eff.pdf,Class01_Electronic-Frontier-Foundation.pdf,200,236294,1fa38f7e62349563facf43b3df6ba8fb6117a4159324e2f67b2abae4a904de2c
Class 1: Audiovisual works – criticism and comment,"Film Independent, the International Documentary Association, and Kartemquin Films",https://cdn.loc.gov/copyright/1201/2018/comments-121817/class1/class-01-initialcomments-fi-ida-kef.pdf,Class01_Film-Independent-the-International-Documentary-Association-and-Kartemquin-Films.pdf,200,396082,ae2119c43b1351e902cfa2a955393dc40c2033828a76e3deb155ba223a229499
Class 1: Audiovisual works – criticism and comment,Free Software Foundation,https://cdn.loc.gov/copyright/1201/2018/comments-121817/class1/class-01-initialcomments-fsf.pdf,Class01_Free-Software-Foundation.pdf,200,46452,45edce0c9400ba3a0092442997849b396661780a2db04980bcafebc900563d94
Class 1: Audiovisual works – criticism and comment,Joint Educators,https://cdn.loc.gov/copyright/1201/2018/comments-121817/class1/class-01-initialcomments-joint-educators.pdf,Class01_Joint-Educators.pdf,200,334077,a033f4d0dec93ee4bf0b0059e4eb7bba21524b97e02516b15528b3eb4bde1748
Class 1: Audiovisual works – criticism and comment,Joint Filmmakers,https://cdn.loc.gov/copyright/1201/2018/comments-121817/class1/class-01-initialcomments-joint-filmmakers.pdf,Class01_Joint-Filmmakers.pdf,200,5134247,78e8e40db7ef49bd467c9c465d82d3deea9fea2231fa981e7fb8caa4411d9d3b
Class 1: Audiovisual works – criticism and comment,The National Association of Criminal Defense Lawyers,https://cdn.loc.gov/copyright/1201/2018/comments-121817/class1/class-01-initialcomments-nacdl.pdf,Class01_The-National-Association-of-Criminal-Defense-Lawyers.pdf,200,32472,08737075917ca09004e14e726d7c58cd63fbf4b36ee54a740100b6f1a24ee852
Class 2: Audiovisual works – accessibility,Association of Transcribers and Speech-to-Text Providers et al.,https://cdn.loc.gov/copyright/1201/2018/comments-121817/class2/class-02-initialcomments-atsp-et-al.pdf,Class02_Association-of-Transcribers-and-Speech-to-Text-Providers-et-al.pdf,200,296890,91f0f3da82474c7a96a4370d2183ec658827c01cbd11d009af8d08e643265bc0
Class 2: Audiovisual works – accessibility,Free Software Foundation,https://cdn.loc.gov/copyright/1201/2018/comments-121817/class2/class-02-initialcomments-fsf.pdf,Class02_Free-Software-Foundation.pdf,200,46429,888b0b506e98ef34d70fc92a2f8ea5a2e90bc3e991412e0e75a3565620d7c332
